"Plot Title: AB08-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578616, SEN S/N: 10578616)","Intensity, Lux (LGR S/N: 10578616, SEN S/N: 10578616)","Coupler Detached (LGR S/N: 10578616)","Coupler Attached (LGR S/N: 10578616)","Host Connected (LGR S/N: 10578616)","Stopped (LGR S/N: 10578616)","End Of File (LGR S/N: 10578616)"
138,10/03/14 09:40:57 AM,9.077,139.9,,,,,
139,10/03/14 12:40:57 PM,12.883,936.5,,,,,
140,10/03/14 03:40:57 PM,15.282,936.5,,,,,
141,10/03/14 06:40:57 PM,13.461,10.8,,,,,
142,10/03/14 09:40:57 PM,10.748,0.0,,,,,
143,10/04/14 12:40:57 AM,9.669,0.0,,,,,
144,10/04/14 03:40:57 AM,9.472,0.0,,,,,
145,10/04/14 06:40:57 AM,9.866,0.0,,,,,
146,10/04/14 09:40:57 AM,10.553,301.4,,,,,
147,10/04/14 12:40:57 PM,14.230,882.6,,,,,
148,10/04/14 03:40:57 PM,15.569,1087.2,,,,,
149,10/04/14 06:40:57 PM,12.883,0.0,,,,,
150,10/04/14 09:40:57 PM,10.944,0.0,,,,,
151,10/05/14 12:40:57 AM,10.063,0.0,,,,,
152,10/05/14 03:40:57 AM,9.866,0.0,,,,,
153,10/05/14 06:40:57 AM,10.161,0.0,,,,,
154,10/05/14 09:40:57 AM,10.748,53.8,,,,,
155,10/05/14 12:40:57 PM,14.134,839.6,,,,,
156,10/05/14 03:40:57 PM,16.427,925.7,,,,,
157,10/05/14 06:40:57 PM,14.325,21.5,,,,,
158,10/05/14 09:40:57 PM,11.722,0.0,,,,,
159,10/06/14 12:40:57 AM,10.651,0.0,,,,,
160,10/06/14 03:40:57 AM,10.063,0.0,,,,,
161,10/06/14 06:40:57 AM,9.965,0.0,,,,,
162,10/06/14 09:40:57 AM,11.139,43.1,,,,,
163,10/06/14 12:40:57 PM,15.378,785.8,,,,,
164,10/06/14 03:40:57 PM,17.760,882.6,,,,,
165,10/06/14 06:40:57 PM,15.664,0.0,,,,,
166,10/06/14 09:40:57 PM,13.076,0.0,,,,,
167,10/07/14 12:40:57 AM,11.528,0.0,,,,,
168,10/07/14 03:40:57 AM,11.041,0.0,,,,,
169,10/07/14 06:40:57 AM,10.748,0.0,,,,,
170,10/07/14 09:40:57 AM,10.944,53.8,,,,,
171,10/07/14 12:40:57 PM,15.091,839.6,,,,,
172,10/07/14 03:40:57 PM,17.189,936.5,,,,,
173,10/07/14 06:40:57 PM,14.996,0.0,,,,,
174,10/07/14 09:40:57 PM,13.558,0.0,,,,,
175,10/08/14 12:40:57 AM,12.497,0.0,,,,,
176,10/08/14 03:40:57 AM,10.357,0.0,,,,,
177,10/08/14 06:40:57 AM,9.571,0.0,,,,,
178,10/08/14 09:40:57 AM,10.063,462.9,,,,,
179,10/08/14 12:40:57 PM,14.038,1636.1,,,,,
180,10/08/14 03:40:57 PM,14.134,850.4,,,,,
181,10/08/14 06:40:57 PM,11.819,0.0,,,,,
182,10/08/14 09:40:57 PM,8.978,0.0,,,,,
183,10/09/14 12:40:57 AM,8.680,0.0,,,,,
184,10/09/14 03:40:57 AM,8.282,0.0,,,,,
185,10/09/14 06:40:57 AM,8.182,0.0,,,,,
186,10/09/14 09:40:57 AM,9.077,96.9,,,,,
187,10/09/14 12:40:57 PM,13.269,775.0,,,,,
188,10/09/14 03:40:57 PM,15.282,656.6,,,,,
189,10/09/14 06:40:57 PM,12.883,0.0,,,,,
190,10/09/14 09:40:57 PM,10.553,0.0,,,,,
191,10/10/14 12:40:57 AM,9.669,0.0,,,,,
192,10/10/14 03:40:57 AM,9.077,0.0,,,,,
193,10/10/14 06:40:57 AM,8.680,0.0,,,,,
194,10/10/14 09:40:57 AM,9.077,64.6,,,,,
195,10/10/14 12:40:57 PM,13.461,914.9,,,,,
196,10/10/14 03:40:57 PM,15.664,1001.0,,,,,
197,10/10/14 06:40:57 PM,11.139,0.0,,,,,
198,10/10/14 09:40:57 PM,9.176,0.0,,,,,
199,10/11/14 12:40:57 AM,9.176,0.0,,,,,
200,10/11/14 03:40:57 AM,9.571,0.0,,,,,
201,10/11/14 06:40:57 AM,7.682,0.0,,,,,
202,10/11/14 09:40:57 AM,7.582,118.4,,,,,
203,10/11/14 12:40:57 PM,10.553,688.9,,,,,
204,10/11/14 03:40:57 PM,8.082,549.0,,,,,
205,10/11/14 06:40:57 PM,7.179,0.0,,,,,
206,10/11/14 09:40:57 PM,4.934,0.0,,,,,
207,10/12/14 12:40:57 AM,4.623,0.0,,,,,
208,10/12/14 03:40:57 AM,4.727,0.0,,,,,
209,10/12/14 06:40:57 AM,4.519,0.0,,,,,
210,10/12/14 09:40:57 AM,6.674,667.4,,,,,
211,10/12/14 12:40:57 PM,8.082,968.8,,,,,
212,10/12/14 03:40:57 PM,9.669,1259.4,,,,,
213,10/12/14 06:40:57 PM,7.682,0.0,,,,,
214,10/12/14 09:40:57 PM,7.481,0.0,,,,,
215,10/13/14 12:40:57 AM,7.179,0.0,,,,,
216,10/13/14 03:40:57 AM,6.370,0.0,,,,,
217,10/13/14 06:40:57 AM,5.962,0.0,,,,,
218,10/13/14 09:40:57 AM,7.983,236.8,,,,,
219,10/13/14 12:40:57 PM,10.357,861.1,,,,,
220,10/13/14 03:40:57 PM,11.528,678.1,,,,,
221,10/13/14 06:40:57 PM,11.139,0.0,,,,,
222,10/13/14 09:40:57 PM,9.768,0.0,,,,,
223,10/14/14 12:40:57 AM,8.779,0.0,,,,,
224,10/14/14 03:40:57 AM,6.877,0.0,,,,,
225,10/14/14 06:40:57 AM,6.573,0.0,,,,,
226,10/14/14 09:40:57 AM,7.280,484.4,,,,,
227,10/14/14 12:40:57 PM,9.571,1463.9,,,,,
228,10/14/14 03:40:57 PM,9.768,807.3,,,,,
229,10/14/14 06:40:57 PM,8.382,0.0,,,,,
230,10/14/14 09:40:57 PM,7.582,0.0,,,,,
231,10/15/14 12:40:57 AM,7.381,0.0,,,,,
232,10/15/14 03:40:57 AM,6.573,0.0,,,,,
233,10/15/14 06:40:57 AM,6.471,0.0,,,,,
234,10/15/14 09:40:57 AM,6.775,796.5,,,,,
235,10/15/14 12:40:57 PM,6.978,645.8,,,,,
236,10/15/14 03:40:57 PM,7.079,527.4,,,,,
237,10/15/14 06:40:57 PM,6.268,0.0,,,,,
238,10/15/14 09:40:57 PM,5.962,0.0,,,,,
239,10/16/14 12:40:57 AM,5.450,0.0,,,,,
240,10/16/14 03:40:57 AM,5.450,0.0,,,,,
241,10/16/14 06:40:57 AM,5.347,0.0,,,,,
242,10/16/14 09:40:57 AM,5.860,322.9,,,,,
243,10/16/14 12:40:57 PM,6.775,613.5,,,,,
244,10/16/14 03:40:57 PM,8.282,678.1,,,,,
245,10/16/14 06:40:57 PM,6.877,0.0,,,,,
246,10/16/14 09:40:57 PM,6.573,0.0,,,,,
247,10/17/14 12:40:57 AM,6.573,0.0,,,,,
248,10/17/14 03:40:57 AM,6.775,0.0,,,,,
249,10/17/14 06:40:57 AM,6.674,0.0,,,,,
250,10/17/14 09:40:57 AM,6.978,484.4,,,,,
251,10/17/14 12:40:57 PM,8.680,753.5,,,,,
252,10/17/14 03:40:57 PM,8.680,258.3,,,,,
253,10/17/14 06:40:57 PM,8.581,0.0,,,,,
254,10/17/14 09:40:57 PM,8.581,0.0,,,,,
255,10/18/14 12:40:57 AM,8.680,0.0,,,,,
256,10/18/14 03:40:57 AM,8.680,0.0,,,,,
257,10/18/14 06:40:57 AM,8.282,0.0,,,,,
258,10/18/14 09:40:57 AM,9.373,301.4,,,,,
259,10/18/14 12:40:57 PM,10.944,710.4,,,,,
260,10/18/14 03:40:57 PM,11.819,570.5,,,,,
261,10/18/14 06:40:57 PM,10.357,0.0,,,,,
