"Plot Title: AM16-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578643, SEN S/N: 10578643)","Intensity, Lux (LGR S/N: 10578643, SEN S/N: 10578643)"
169,10/02/14 01:00:00 PM,7.782,4822.3
170,10/02/14 04:00:00 PM,11.139,4994.5
171,10/02/14 07:00:00 PM,7.983,10.8
172,10/02/14 10:00:00 PM,5.860,0.0
173,10/03/14 01:00:00 AM,4.102,0.0
174,10/03/14 04:00:00 AM,4.207,0.0
175,10/03/14 07:00:00 AM,4.311,0.0
176,10/03/14 10:00:00 AM,5.860,699.7
177,10/03/14 01:00:00 PM,10.553,2755.6
178,10/03/14 04:00:00 PM,12.787,2669.5
179,10/03/14 07:00:00 PM,10.161,0.0
180,10/03/14 10:00:00 PM,8.182,0.0
181,10/04/14 01:00:00 AM,7.381,0.0
182,10/04/14 04:00:00 AM,6.877,0.0
183,10/04/14 07:00:00 AM,7.280,0.0
184,10/04/14 10:00:00 AM,9.275,2411.1
185,10/04/14 01:00:00 PM,13.461,5338.9
186,10/04/14 04:00:00 PM,13.461,2152.8
187,10/04/14 07:00:00 PM,10.748,0.0
188,10/04/14 10:00:00 PM,8.581,0.0
189,10/05/14 01:00:00 AM,7.882,0.0
190,10/05/14 04:00:00 AM,7.481,0.0
191,10/05/14 07:00:00 AM,7.280,0.0
192,10/05/14 10:00:00 AM,8.282,570.5
193,10/05/14 01:00:00 PM,12.690,1980.6
194,10/05/14 04:00:00 PM,14.421,1636.1
195,10/05/14 07:00:00 PM,12.013,0.0
196,10/05/14 10:00:00 PM,10.259,0.0
197,10/06/14 01:00:00 AM,9.176,0.0
198,10/06/14 04:00:00 AM,8.282,0.0
199,10/06/14 07:00:00 AM,7.882,0.0
200,10/06/14 10:00:00 AM,8.779,527.4
201,10/06/14 01:00:00 PM,12.980,1894.5
202,10/06/14 04:00:00 PM,14.804,1550.0
203,10/06/14 07:00:00 PM,12.401,0.0
204,10/06/14 10:00:00 PM,10.748,0.0
205,10/07/14 01:00:00 AM,9.571,0.0
206,10/07/14 04:00:00 AM,8.581,0.0
207,10/07/14 07:00:00 AM,7.882,0.0
208,10/07/14 10:00:00 AM,8.779,538.2
209,10/07/14 01:00:00 PM,12.883,1894.5
210,10/07/14 04:00:00 PM,14.421,1463.9
211,10/07/14 07:00:00 PM,11.819,0.0
212,10/07/14 10:00:00 PM,10.944,0.0
213,10/08/14 01:00:00 AM,10.063,0.0
214,10/08/14 04:00:00 AM,8.282,0.0
215,10/08/14 07:00:00 AM,7.983,0.0
216,10/08/14 10:00:00 AM,9.571,1980.6
217,10/08/14 01:00:00 PM,13.173,5166.7
218,10/08/14 04:00:00 PM,12.497,1636.1
219,10/08/14 07:00:00 PM,10.455,0.0
220,10/08/14 10:00:00 PM,7.582,0.0
221,10/09/14 01:00:00 AM,6.166,0.0
222,10/09/14 04:00:00 AM,5.450,0.0
223,10/09/14 07:00:00 AM,5.037,0.0
224,10/09/14 10:00:00 AM,6.268,1054.9
225,10/09/14 01:00:00 PM,10.357,1980.6
226,10/09/14 04:00:00 PM,12.304,1722.2
227,10/09/14 07:00:00 PM,9.669,0.0
228,10/09/14 10:00:00 PM,7.481,0.0
229,10/10/14 01:00:00 AM,6.166,0.0
230,10/10/14 04:00:00 AM,5.347,0.0
231,10/10/14 07:00:00 AM,4.934,0.0
232,10/10/14 10:00:00 AM,6.064,667.4
233,10/10/14 01:00:00 PM,11.139,3444.5
234,10/10/14 04:00:00 PM,12.883,3961.1
235,10/10/14 07:00:00 PM,10.259,0.0
236,10/10/14 10:00:00 PM,9.275,0.0
237,10/11/14 01:00:00 AM,7.983,0.0
238,10/11/14 04:00:00 AM,8.879,0.0
239,10/11/14 07:00:00 AM,6.370,0.0
240,10/11/14 10:00:00 AM,6.064,1894.5
241,10/11/14 01:00:00 PM,8.182,1636.1
242,10/11/14 04:00:00 PM,6.877,527.4
243,10/11/14 07:00:00 PM,6.775,0.0
244,10/11/14 10:00:00 PM,6.370,0.0
245,10/12/14 01:00:00 AM,6.268,0.0
246,10/12/14 04:00:00 AM,5.244,0.0
247,10/12/14 07:00:00 AM,4.934,0.0
248,10/12/14 10:00:00 AM,7.481,3961.1
249,10/12/14 01:00:00 PM,9.768,6544.5
250,10/12/14 04:00:00 PM,10.357,3616.7
251,10/12/14 07:00:00 PM,7.682,0.0
252,10/12/14 10:00:00 PM,6.978,0.0
253,10/13/14 01:00:00 AM,6.877,0.0
254,10/13/14 04:00:00 AM,5.962,0.0
255,10/13/14 07:00:00 AM,4.727,0.0
256,10/13/14 10:00:00 AM,6.268,1980.6
257,10/13/14 01:00:00 PM,10.553,6200.0
258,10/13/14 04:00:00 PM,10.553,2927.8
259,10/13/14 07:00:00 PM,9.373,0.0
260,10/13/14 10:00:00 PM,9.275,0.0
261,10/14/14 01:00:00 AM,7.381,0.0
262,10/14/14 04:00:00 AM,5.757,0.0
263,10/14/14 07:00:00 AM,5.552,0.0
264,10/14/14 10:00:00 AM,7.079,3444.5
265,10/14/14 01:00:00 PM,10.357,8611.2
266,10/14/14 04:00:00 PM,9.472,3961.1
267,10/14/14 07:00:00 PM,7.682,0.0
268,10/14/14 10:00:00 PM,6.775,0.0
269,10/15/14 01:00:00 AM,6.471,0.0
270,10/15/14 04:00:00 AM,6.370,0.0
271,10/15/14 07:00:00 AM,6.064,0.0
272,10/15/14 10:00:00 AM,6.573,3616.7
273,10/15/14 01:00:00 PM,5.244,1550.0
274,10/15/14 04:00:00 PM,6.166,925.7
275,10/15/14 07:00:00 PM,5.141,0.0
276,10/15/14 10:00:00 PM,4.831,0.0
277,10/16/14 01:00:00 AM,4.934,0.0
278,10/16/14 04:00:00 AM,4.831,0.0
279,10/16/14 07:00:00 AM,4.519,0.0
280,10/16/14 10:00:00 AM,5.141,2669.5
281,10/16/14 01:00:00 PM,5.860,2669.5
282,10/16/14 04:00:00 PM,6.674,2325.0
283,10/16/14 07:00:00 PM,4.831,0.0
284,10/16/14 10:00:00 PM,4.623,0.0
285,10/17/14 01:00:00 AM,5.244,0.0
286,10/17/14 04:00:00 AM,5.860,0.0
287,10/17/14 07:00:00 AM,5.655,0.0
288,10/17/14 10:00:00 AM,6.268,818.1
289,10/17/14 01:00:00 PM,7.582,1636.1
290,10/17/14 04:00:00 PM,7.682,538.2
291,10/17/14 07:00:00 PM,7.481,0.0
292,10/17/14 10:00:00 PM,7.481,0.0
293,10/18/14 01:00:00 AM,7.782,0.0
294,10/18/14 04:00:00 AM,7.882,0.0
295,10/18/14 07:00:00 AM,8.082,0.0
296,10/18/14 10:00:00 AM,9.866,4133.4
297,10/18/14 01:00:00 PM,11.916,7233.4
298,10/18/14 04:00:00 PM,11.722,4305.6
299,10/18/14 07:00:00 PM,8.779,0.0
300,10/18/14 10:00:00 PM,6.978,0.0
301,10/19/14 01:00:00 AM,6.471,0.0
302,10/19/14 04:00:00 AM,6.573,0.0
303,10/19/14 07:00:00 AM,6.674,0.0
304,10/19/14 10:00:00 AM,9.176,4477.8
305,10/19/14 01:00:00 PM,12.594,6200.0
306,10/19/14 04:00:00 PM,12.883,7577.8
307,10/19/14 07:00:00 PM,9.275,0.0
308,10/19/14 10:00:00 PM,7.782,0.0
309,10/20/14 01:00:00 AM,8.581,0.0
310,10/20/14 04:00:00 AM,9.077,0.0
311,10/20/14 07:00:00 AM,8.879,0.0
312,10/20/14 10:00:00 AM,8.680,2325.0
313,10/20/14 01:00:00 PM,9.965,1980.6
314,10/20/14 04:00:00 PM,9.275,10333.4
315,10/20/14 07:00:00 PM,7.280,0.0
316,10/20/14 10:00:00 PM,6.573,0.0
317,10/21/14 01:00:00 AM,6.064,0.0
318,10/21/14 04:00:00 AM,5.757,0.0
319,10/21/14 07:00:00 AM,5.757,0.0
320,10/21/14 10:00:00 AM,6.674,5511.1
321,10/21/14 01:00:00 PM,6.978,1722.2
322,10/21/14 04:00:00 PM,6.674,1550.0
323,10/21/14 07:00:00 PM,6.064,0.0
324,10/21/14 10:00:00 PM,6.064,0.0
325,10/22/14 01:00:00 AM,5.860,0.0
326,10/22/14 04:00:00 AM,5.962,0.0
327,10/22/14 07:00:00 AM,6.471,0.0
328,10/22/14 10:00:00 AM,7.179,559.7
329,10/22/14 01:00:00 PM,7.381,958.0
330,10/22/14 04:00:00 PM,7.280,624.3
331,10/22/14 07:00:00 PM,6.877,0.0
332,10/22/14 10:00:00 PM,6.674,0.0
333,10/23/14 01:00:00 AM,5.552,0.0
334,10/23/14 04:00:00 AM,4.934,0.0
335,10/23/14 07:00:00 AM,3.893,0.0
336,10/23/14 10:00:00 AM,4.519,710.4
337,10/23/14 01:00:00 PM,5.860,2927.8
338,10/23/14 04:00:00 PM,5.141,2755.6
339,10/23/14 07:00:00 PM,3.998,0.0
340,10/23/14 10:00:00 PM,3.578,0.0
