Year,Transect,Site_Num,Site_Code,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,notes,predSDD
2017,Reflection Lakes,5,RL5,RL4_14,0,10/17/2016,7/18/2017,271,0.232,199,,195.108916595502
2018,Reflection Lakes,5,RL5,RL4_14,0,10/12/2017,7/11/2018,269,-0.102,192,,185.408429976188
2019,Reflection Lakes,5,RL5,RL4_14,0,10/6/2018,6/16/2019,229,0.121,167,,179.294643880887
2020,Reflection Lakes,5,RL5,RL4_14,0,10/5/2019,7/16/2020,276,-0.325,198,,191.26451153135
2013,Reflection Lakes,5,RL5,RL5_13,NA,NA,NA,NA,NA,NA,,194.965338417784
2014,Reflection Lakes,5,RL5,RL5_13,0.283898148,9/29/2013,7/16/2014,279,-1.799,197,,194.572513598916
2015,Reflection Lakes,5,RL5,RL5_13,0.218992308,10/26/2014,5/20/2015,194,-2.03,140,,148.6796103809
2016,Reflection Lakes,5a,RL5a,RL5_13,0,10/27/2015,7/10/2016,255,0.121,192,original hobo labeled RL6,181.725832334004
2017,Reflection Lakes,6,RL6,RL5_13,NA,NA,NA,NA,NA,NA,,194.460402694752
2018,Reflection Lakes,6,RL6,RL5_13,0.22330811,10/12/2017,7/6/2018,261,-0.549,187,,184.759916075439
2019,Reflection Lakes,6,RL6,RL5_13,0,10/6/2018,6/16/2019,229,0.121,167,,178.646129980138
2020,Reflection Lakes,6,RL6,RL5_13,0,10/9/2019,7/14/2020,270,-1.228,196,,190.6159976306
2016,Reflection Lakes,5b,RL5b,RL5b_16,0,10/26/2015,6/27/2016,244,0.232,179,original hobo labeled RL7,186.113741674131
2017,Reflection Lakes,7,RL7,RL5b_16,0,10/17/2016,7/14/2017,270,0.01,195,,198.848312034879
2018,Reflection Lakes,7,RL7,RL5b_16,NA,NA,NA,NA,NA,NA,,189.147825415566
2019,Reflection Lakes,7,RL7,RL5b_16,0,10/5/2018,7/1/2019,244,0.121,182,,183.034039320264
2020,Reflection Lakes,7,RL7,RL5b_16,0,10/1/2019,7/25/2020,289,-0.437,207,,195.003906970727
2013,Reflection Lakes,6,RL6,RL6_13,NA,NA,NA,NA,NA,NA,,200.262617060331
2014,Reflection Lakes,6,RL6,RL6_13,NA,NA,NA,NA,NA,NA,,199.869792241463
2015,Reflection Lakes,6,RL6,RL6_13,0.127664216,10/24/2014,5/30/2015,204,-5.249,150,,153.976889023448
2016,Reflection Lakes,6,RL6,RL6_13,0,10/26/2015,7/9/2016,256,0.121,191,original hobo labeled RL 8,187.023110976552
2013,Reflection Lakes,7,RL7,RL7_13,NA,NA,NA,NA,NA,NA,,196.548440620042
2014,Reflection Lakes,7,RL7,RL7_13,0.300175958,9/30/2013,7/23/2014,287,-0.549,204,,196.155615801174
2015,Reflection Lakes,7,RL7,RL7_13,0.291554087,10/24/2014,5/29/2015,207,-2.727,149,,150.262712583158
2016,Reflection Lakes,7,RL7,RL7_13,0,10/26/2015,6/30/2016,246,0.121,182,original hobo labeled RL9,183.308934536262
2017,Reflection Lakes,9,RL9,RL7_13,0,10/17/2016,7/13/2017,270,0.01,194,,196.04350489701
2018,Reflection Lakes,9,RL9,RL7_13,NA,NA,NA,NA,NA,NA,,186.343018277697
2019,Reflection Lakes,9,RL9,RL7_13,0,10/5/2018,6/26/2019,241,0.01,177,,180.229232182396
2020,Reflection Lakes,9,RL9,RL7_13,NA,NA,NA,NA,NA,NA,,192.199099832858
2013,Reflection Lakes,8,RL8,RL8_13,NA,NA,NA,NA,NA,NA,,198.181923981232
2014,Reflection Lakes,8,RL8,RL8_13,0.2309277,9/30/2013,7/20/2014,287,-0.437,201,,197.789099162364
2015,Reflection Lakes,8,RL8,RL8_13,0.133458539,10/23/2014,5/29/2015,203,-8.314,149,,151.896195944349
2016,Reflection Lakes,8,RL8,RL8_13,0,10/27/2015,6/24/2016,238,0.232,176,original hobo labeled RL10,184.942417897452
2017,Reflection Lakes,10,RL10,RL8_13,0,10/17/2016,7/16/2017,271,0.01,197,,197.6769882582
2018,Reflection Lakes,10,RL10,RL8_13,NA,NA,NA,NA,NA,NA,,187.976501638887
2019,Reflection Lakes,10,RL10,RL8_13,0,10/5/2018,6/25/2019,241,0.01,176,,181.862715543586
2020,Reflection Lakes,10,RL10,RL8_13,0,10/5/2019,7/27/2020,283,-1.799,209,,193.832583194048
2017,Reflection Lakes,8,RL8,RL8_17,0,10/17/2016,7/11/2017,265,0.01,192,,192.907136357308
2018,Reflection Lakes,8,RL8,RL8_17,NA,NA,NA,NA,NA,NA,,183.206649737995
2019,Reflection Lakes,8,RL8,RL8_17,0,10/5/2018,6/27/2019,242,-0.325,178,,177.092863642693
2020,Reflection Lakes,8,RL8,RL8_17,NA,NA,NA,NA,NA,NA,,189.062731293156
2013,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,,203.713334849032
2014,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,,203.320510030164
2015,Reflection Lakes,9,RL9,RL9_13,0.255873272,10/16/2014,6/8/2015,217,-5.003,159,,157.427606812148
2016,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,,190.473828765252
2017,Reflection Lakes,11,RL11,RL9_13,0,10/17/2016,7/14/2017,268,0.232,195,,203.208399126
2018,Reflection Lakes,11,RL11,RL9_13,NA,NA,NA,NA,NA,NA,,193.507912506687
2019,Reflection Lakes,11,RL11,RL9_13,NA,NA,NA,NA,NA,NA,,187.394126411386
2020,Reflection Lakes,11,RL11,RL9_13,0,10/1/2019,7/24/2020,287,-3.316,206,,199.363994061848
