"Plot Title: TA01-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409566, SEN S/N: 2409566)","Intensity, Lux (LGR S/N: 2409566, SEN S/N: 2409566)","Coupler Attached (LGR S/N: 2409566)","Coupler Detached (LGR S/N: 2409566)","Host Connected (LGR S/N: 2409566)","Stopped (LGR S/N: 2409566)","End Of File (LGR S/N: 2409566)"
218,10/08/13 04:00:00 PM,5.962,1550.0,,,,,
219,10/08/13 07:00:00 PM,5.552,0.0,,,,,
220,10/08/13 10:00:00 PM,4.102,0.0,,,,,
221,10/09/13 01:00:00 AM,2.837,0.0,,,,,
222,10/09/13 04:00:00 AM,2.410,0.0,,,,,
223,10/09/13 07:00:00 AM,2.730,0.0,,,,,
224,10/09/13 10:00:00 AM,3.367,226.0,,,,,
225,10/09/13 01:00:00 PM,6.877,3616.7,,,,,
226,10/09/13 04:00:00 PM,8.978,1722.2,,,,,
227,10/09/13 07:00:00 PM,7.280,0.0,,,,,
228,10/09/13 10:00:00 PM,6.268,0.0,,,,,
229,10/10/13 01:00:00 AM,6.166,0.0,,,,,
230,10/10/13 04:00:00 AM,6.064,0.0,,,,,
231,10/10/13 07:00:00 AM,5.757,0.0,,,,,
232,10/10/13 10:00:00 AM,6.064,1894.5,,,,,
233,10/10/13 01:00:00 PM,7.882,3961.1,,,,,
234,10/10/13 04:00:00 PM,8.779,667.4,,,,,
235,10/10/13 07:00:00 PM,8.282,0.0,,,,,
236,10/10/13 10:00:00 PM,7.882,0.0,,,,,
237,10/11/13 01:00:00 AM,7.381,0.0,,,,,
238,10/11/13 04:00:00 AM,6.978,0.0,,,,,
239,10/11/13 07:00:00 AM,6.573,0.0,,,,,
240,10/11/13 10:00:00 AM,7.280,1377.8,,,,,
241,10/11/13 01:00:00 PM,9.176,3444.5,,,,,
242,10/11/13 04:00:00 PM,8.680,1377.8,,,,,
243,10/11/13 07:00:00 PM,7.582,0.0,,,,,
244,10/11/13 10:00:00 PM,6.978,0.0,,,,,
245,10/12/13 01:00:00 AM,6.775,0.0,,,,,
246,10/12/13 04:00:00 AM,6.775,0.0,,,,,
247,10/12/13 07:00:00 AM,5.962,0.0,,,,,
248,10/12/13 10:00:00 AM,6.268,1894.5,,,,,
249,10/12/13 01:00:00 PM,7.682,1636.1,,,,,
250,10/12/13 04:00:00 PM,8.182,1065.6,,,,,
251,10/12/13 07:00:00 PM,7.179,0.0,,,,,
252,10/12/13 10:00:00 PM,6.978,0.0,,,,,
253,10/13/13 01:00:00 AM,6.674,0.0,,,,,
254,10/13/13 04:00:00 AM,4.623,0.0,,,,,
255,10/13/13 07:00:00 AM,3.155,0.0,,,,,
256,10/13/13 10:00:00 AM,3.578,226.0,,,,,
257,10/13/13 01:00:00 PM,7.381,2325.0,,,,,
258,10/13/13 04:00:00 PM,8.978,527.4,,,,,
259,10/13/13 07:00:00 PM,7.280,0.0,,,,,
260,10/13/13 10:00:00 PM,5.962,0.0,,,,,
261,10/14/13 01:00:00 AM,4.519,0.0,,,,,
262,10/14/13 04:00:00 AM,3.472,0.0,,,,,
263,10/14/13 07:00:00 AM,2.943,0.0,,,,,
264,10/14/13 10:00:00 AM,3.893,193.8,,,,,
265,10/14/13 01:00:00 PM,8.382,2066.7,,,,,
266,10/14/13 04:00:00 PM,10.259,1377.8,,,,,
267,10/14/13 07:00:00 PM,7.381,0.0,,,,,
268,10/14/13 10:00:00 PM,5.552,0.0,,,,,
269,10/15/13 01:00:00 AM,4.623,0.0,,,,,
270,10/15/13 04:00:00 AM,3.578,0.0,,,,,
271,10/15/13 07:00:00 AM,3.261,0.0,,,,,
272,10/15/13 10:00:00 AM,4.311,290.6,,,,,
273,10/15/13 01:00:00 PM,8.680,2152.8,,,,,
274,10/15/13 04:00:00 PM,11.139,1550.0,,,,,
275,10/15/13 07:00:00 PM,8.978,0.0,,,,,
276,10/15/13 10:00:00 PM,6.775,0.0,,,,,
277,10/16/13 01:00:00 AM,5.962,0.0,,,,,
278,10/16/13 04:00:00 AM,5.141,0.0,,,,,
279,10/16/13 07:00:00 AM,4.311,0.0,,,,,
280,10/16/13 10:00:00 AM,5.037,344.4,,,,,
281,10/16/13 01:00:00 PM,10.161,2066.7,,,,,
282,10/16/13 04:00:00 PM,11.916,1356.3,,,,,
283,10/16/13 07:00:00 PM,9.176,0.0,,,,,
284,10/16/13 10:00:00 PM,7.179,0.0,,,,,
285,10/17/13 01:00:00 AM,6.166,0.0,,,,,
286,10/17/13 04:00:00 AM,5.450,0.0,,,,,
287,10/17/13 07:00:00 AM,5.037,0.0,,,,,
288,10/17/13 10:00:00 AM,5.655,183.0,,,,,
289,10/17/13 01:00:00 PM,10.651,1980.6,,,,,
290,10/17/13 04:00:00 PM,12.497,1324.0,,,,,
291,10/17/13 07:00:00 PM,9.768,0.0,,,,,
292,10/17/13 10:00:00 PM,7.782,0.0,,,,,
293,10/18/13 01:00:00 AM,6.674,0.0,,,,,
294,10/18/13 04:00:00 AM,5.962,0.0,,,,,
295,10/18/13 07:00:00 AM,5.347,0.0,,,,,
296,10/18/13 10:00:00 AM,5.757,139.9,,,,,
297,10/18/13 01:00:00 PM,11.041,2066.7,,,,,
298,10/18/13 04:00:00 PM,13.173,1377.8,,,,,
299,10/18/13 07:00:00 PM,9.965,0.0,,,,,
300,10/18/13 10:00:00 PM,7.983,0.0,,,,,
301,10/19/13 01:00:00 AM,6.877,0.0,,,,,
302,10/19/13 04:00:00 AM,6.268,0.0,,,,,
303,10/19/13 07:00:00 AM,5.655,0.0,,,,,
304,10/19/13 10:00:00 AM,6.370,635.1,,,,,
305,10/19/13 01:00:00 PM,11.431,2066.7,,,,,
306,10/19/13 04:00:00 PM,12.980,1463.9,,,,,
307,10/19/13 07:00:00 PM,9.965,0.0,,,,,
308,10/19/13 10:00:00 PM,7.983,0.0,,,,,
309,10/20/13 01:00:00 AM,6.674,0.0,,,,,
310,10/20/13 04:00:00 AM,5.962,0.0,,,,,
311,10/20/13 07:00:00 AM,5.655,0.0,,,,,
312,10/20/13 10:00:00 AM,6.573,139.9,,,,,
313,10/20/13 01:00:00 PM,12.497,1980.6,,,,,
314,10/20/13 04:00:00 PM,14.613,1324.0,,,,,
315,10/20/13 07:00:00 PM,10.846,0.0,,,,,
316,10/20/13 10:00:00 PM,8.680,0.0,,,,,
317,10/21/13 01:00:00 AM,7.782,0.0,,,,,
318,10/21/13 04:00:00 AM,7.582,0.0,,,,,
319,10/21/13 07:00:00 AM,7.682,0.0,,,,,
320,10/21/13 10:00:00 AM,8.779,150.7,,,,,
321,10/21/13 01:00:00 PM,14.613,2066.7,,,,,
322,10/21/13 04:00:00 PM,16.427,1345.5,,,,,
323,10/21/13 07:00:00 PM,12.497,0.0,,,,,
324,10/21/13 10:00:00 PM,10.846,0.0,,,,,
325,10/22/13 01:00:00 AM,9.472,0.0,,,,,
326,10/22/13 04:00:00 AM,8.382,0.0,,,,,
327,10/22/13 07:00:00 AM,7.882,0.0,,,,,
328,10/22/13 10:00:00 AM,8.282,139.9,,,,,
329,10/22/13 01:00:00 PM,14.709,2066.7,,,,,
330,10/22/13 04:00:00 PM,16.808,1367.0,,,,,
331,10/22/13 07:00:00 PM,12.304,0.0,,,,,
332,10/22/13 10:00:00 PM,10.259,0.0,,,,,
333,10/23/13 01:00:00 AM,9.275,0.0,,,,,
334,10/23/13 04:00:00 AM,8.182,0.0,,,,,
335,10/23/13 07:00:00 AM,7.381,0.0,,,,,
336,10/23/13 10:00:00 AM,7.682,150.7,,,,,
337,10/23/13 01:00:00 PM,14.325,2066.7,,,,,
338,10/23/13 04:00:00 PM,16.808,1356.3,,,,,
339,10/23/13 07:00:00 PM,12.013,0.0,,,,,
340,10/23/13 10:00:00 PM,10.063,0.0,,,,,
341,10/24/13 01:00:00 AM,8.581,0.0,,,,,
342,10/24/13 04:00:00 AM,7.381,0.0,,,,,
343,10/24/13 07:00:00 AM,6.573,0.0,,,,,
344,10/24/13 10:00:00 AM,6.877,172.2,,,,,
345,10/24/13 01:00:00 PM,13.846,2066.7,,,,,
346,10/24/13 04:00:00 PM,15.951,1345.5,,,,,
347,10/24/13 07:00:00 PM,11.431,0.0,,,,,
348,10/24/13 10:00:00 PM,9.373,0.0,,,,,
349,10/25/13 01:00:00 AM,8.182,0.0,,,,,
350,10/25/13 04:00:00 AM,7.280,0.0,,,,,
351,10/25/13 07:00:00 AM,6.471,0.0,,,,,
352,10/25/13 10:00:00 AM,6.471,204.5,,,,,
353,10/25/13 01:00:00 PM,11.431,2066.7,,,,,
354,10/25/13 04:00:00 PM,12.110,1345.5,,,,,
355,10/25/13 07:00:00 PM,8.879,0.0,,,,,
356,10/25/13 10:00:00 PM,6.877,0.0,,,,,
357,10/26/13 01:00:00 AM,5.860,0.0,,,,,
358,10/26/13 04:00:00 AM,5.244,0.0,,,,,
359,10/26/13 07:00:00 AM,4.519,0.0,,,,,
360,10/26/13 10:00:00 AM,5.037,172.2,,,,,
361,10/26/13 01:00:00 PM,9.669,1980.6,,,,,
362,10/26/13 04:00:00 PM,11.431,1324.0,,,,,
363,10/26/13 07:00:00 PM,7.782,0.0,,,,,
364,10/26/13 10:00:00 PM,5.655,0.0,,,,,
365,10/27/13 01:00:00 AM,4.934,0.0,,,,,
366,10/27/13 04:00:00 AM,3.998,0.0,,,,,
367,10/27/13 07:00:00 AM,4.727,0.0,,,,,
368,10/27/13 10:00:00 AM,5.655,839.6,,,,,
369,10/27/13 01:00:00 PM,7.079,4477.8,,,,,
370,10/27/13 04:00:00 PM,7.782,1636.1,,,,,
371,10/27/13 07:00:00 PM,5.962,0.0,,,,,
372,10/27/13 10:00:00 PM,5.962,0.0,,,,,
373,10/28/13 01:00:00 AM,6.268,0.0,,,,,
374,10/28/13 04:00:00 AM,6.166,0.0,,,,,
375,10/28/13 07:00:00 AM,4.519,0.0,,,,,
376,10/28/13 10:00:00 AM,3.788,107.6,,,,,
377,10/28/13 01:00:00 PM,5.655,1345.5,,,,,
378,10/28/13 04:00:00 PM,7.381,839.6,,,,,
