"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995245, SEN S/N: 9995245)","Intensity, Lux (LGR S/N: 9995245, SEN S/N: 9995245)","Bad Battery (LGR S/N: 9995245)","Good Battery (LGR S/N: 9995245)","End Of File (LGR S/N: 9995245)"
170,10/08/13 10:00:00 PM,2.195,0.0,,,
171,10/09/13 01:00:00 AM,1.872,0.0,,,
172,10/09/13 04:00:00 AM,1.330,0.0,,,
173,10/09/13 07:00:00 AM,1.439,0.0,,,
174,10/09/13 10:00:00 AM,3.788,1980.6,,,
175,10/09/13 01:00:00 PM,6.471,3788.9,,,
176,10/09/13 04:00:00 PM,6.674,1162.5,,,
177,10/09/13 07:00:00 PM,5.347,0.0,,,
178,10/09/13 10:00:00 PM,4.623,0.0,,,
179,10/10/13 01:00:00 AM,3.893,0.0,,,
180,10/10/13 04:00:00 AM,2.943,0.0,,,
181,10/10/13 07:00:00 AM,2.730,0.0,,,
182,10/10/13 10:00:00 AM,4.831,4305.6,,,
183,10/10/13 01:00:00 PM,6.573,2152.8,,,
184,10/10/13 04:00:00 PM,6.775,1054.9,,,
185,10/10/13 07:00:00 PM,5.860,0.0,,,
186,10/10/13 10:00:00 PM,5.450,0.0,,,
187,10/11/13 01:00:00 AM,4.831,0.0,,,
188,10/11/13 04:00:00 AM,4.415,0.0,,,
189,10/11/13 07:00:00 AM,3.893,0.0,,,
190,10/11/13 10:00:00 AM,4.727,1636.1,,,
191,10/11/13 01:00:00 PM,5.757,2066.7,,,
192,10/11/13 04:00:00 PM,5.655,699.7,,,
193,10/11/13 07:00:00 PM,4.934,0.0,,,
194,10/11/13 10:00:00 PM,4.727,0.0,,,
195,10/12/13 01:00:00 AM,4.415,0.0,,,
196,10/12/13 04:00:00 AM,4.102,0.0,,,
197,10/12/13 07:00:00 AM,3.261,0.0,,,
198,10/12/13 10:00:00 AM,3.367,753.5,,,
199,10/12/13 01:00:00 PM,4.623,1463.9,,,
200,10/12/13 04:00:00 PM,4.831,570.5,,,
201,10/12/13 07:00:00 PM,4.727,0.0,,,
202,10/12/13 10:00:00 PM,4.623,0.0,,,
203,10/13/13 01:00:00 AM,4.207,0.0,,,
204,10/13/13 04:00:00 AM,3.367,0.0,,,
205,10/13/13 07:00:00 AM,2.195,0.0,,,
206,10/13/13 10:00:00 AM,4.102,1894.5,,,
207,10/13/13 01:00:00 PM,6.978,4994.5,,,
208,10/13/13 04:00:00 PM,6.877,2152.8,,,
209,10/13/13 07:00:00 PM,5.450,0.0,,,
210,10/13/13 10:00:00 PM,4.623,0.0,,,
211,10/14/13 01:00:00 AM,3.788,0.0,,,
212,10/14/13 04:00:00 AM,3.472,0.0,,,
213,10/14/13 07:00:00 AM,4.207,0.0,,,
214,10/14/13 10:00:00 AM,5.962,1894.5,,,
215,10/14/13 01:00:00 PM,9.077,2927.8,,,
216,10/14/13 04:00:00 PM,8.779,1022.6,,,
217,10/14/13 07:00:00 PM,6.978,0.0,,,
218,10/14/13 10:00:00 PM,6.573,0.0,,,
219,10/15/13 01:00:00 AM,6.166,0.0,,,
220,10/15/13 04:00:00 AM,5.757,0.0,,,
221,10/15/13 07:00:00 AM,5.552,0.0,,,
222,10/15/13 10:00:00 AM,6.775,1980.6,,,
223,10/15/13 01:00:00 PM,9.571,2755.6,,,
224,10/15/13 04:00:00 PM,9.866,1463.9,,,
225,10/15/13 07:00:00 PM,7.682,0.0,,,
226,10/15/13 10:00:00 PM,7.481,0.0,,,
227,10/16/13 01:00:00 AM,6.877,0.0,,,
228,10/16/13 04:00:00 AM,6.166,0.0,,,
229,10/16/13 07:00:00 AM,5.552,0.0,,,
230,10/16/13 10:00:00 AM,6.877,1808.3,,,
231,10/16/13 01:00:00 PM,10.259,2927.8,,,
232,10/16/13 04:00:00 PM,9.866,1119.5,,,
233,10/16/13 07:00:00 PM,8.182,0.0,,,
234,10/16/13 10:00:00 PM,7.983,0.0,,,
235,10/17/13 01:00:00 AM,7.682,0.0,,,
236,10/17/13 04:00:00 AM,7.381,0.0,,,
237,10/17/13 07:00:00 AM,7.179,0.0,,,
238,10/17/13 10:00:00 AM,8.680,1894.5,,,
239,10/17/13 01:00:00 PM,11.041,2927.8,,,
240,10/17/13 04:00:00 PM,11.041,936.5,,,
241,10/17/13 07:00:00 PM,9.275,0.0,,,
242,10/17/13 10:00:00 PM,8.978,0.0,,,
243,10/18/13 01:00:00 AM,8.481,0.0,,,
244,10/18/13 04:00:00 AM,8.082,0.0,,,
245,10/18/13 07:00:00 AM,7.983,0.0,,,
246,10/18/13 10:00:00 AM,9.275,1894.5,,,
247,10/18/13 01:00:00 PM,12.207,2927.8,,,
248,10/18/13 04:00:00 PM,12.304,925.7,,,
249,10/18/13 07:00:00 PM,10.553,0.0,,,
250,10/18/13 10:00:00 PM,10.357,0.0,,,
251,10/19/13 01:00:00 AM,10.161,0.0,,,
252,10/19/13 04:00:00 AM,9.965,0.0,,,
253,10/19/13 07:00:00 AM,9.472,0.0,,,
254,10/19/13 10:00:00 AM,10.748,1894.5,,,
255,10/19/13 01:00:00 PM,12.304,2755.6,,,
