"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574903, SEN S/N: 10574903)","Intensity, Lux (LGR S/N: 10574903, SEN S/N: 10574903)","Coupler Attached (LGR S/N: 10574903)","Coupler Detached (LGR S/N: 10574903)","Host Connected (LGR S/N: 10574903)","Stopped (LGR S/N: 10574903)","End Of File (LGR S/N: 10574903)"
177,10/06/15 01:00:00 PM,13.654,1463.9,,,,,
178,10/06/15 04:00:00 PM,14.421,936.5,,,,,
179,10/06/15 07:00:00 PM,13.076,0.0,,,,,
180,10/06/15 10:00:00 PM,12.304,0.0,,,,,
181,10/07/15 01:00:00 AM,11.819,0.0,,,,,
182,10/07/15 04:00:00 AM,11.625,0.0,,,,,
183,10/07/15 07:00:00 AM,11.431,0.0,,,,,
184,10/07/15 10:00:00 AM,11.625,226.0,,,,,
185,10/07/15 01:00:00 PM,11.916,366.0,,,,,
186,10/07/15 04:00:00 PM,12.594,290.6,,,,,
187,10/07/15 07:00:00 PM,12.594,0.0,,,,,
188,10/07/15 10:00:00 PM,12.497,0.0,,,,,
189,10/08/15 01:00:00 AM,12.401,0.0,,,,,
190,10/08/15 04:00:00 AM,12.013,0.0,,,,,
191,10/08/15 07:00:00 AM,11.431,0.0,,,,,
192,10/08/15 10:00:00 AM,11.819,850.4,,,,,
193,10/08/15 01:00:00 PM,13.846,2152.8,,,,,
194,10/08/15 04:00:00 PM,14.325,1151.7,,,,,
195,10/08/15 07:00:00 PM,13.076,0.0,,,,,
196,10/08/15 10:00:00 PM,12.013,0.0,,,,,
197,10/09/15 01:00:00 AM,11.139,0.0,,,,,
198,10/09/15 04:00:00 AM,10.455,0.0,,,,,
199,10/09/15 07:00:00 AM,10.161,0.0,,,,,
200,10/09/15 10:00:00 AM,11.625,1184.0,,,,,
201,10/09/15 01:00:00 PM,13.365,290.6,,,,,
202,10/09/15 04:00:00 PM,14.134,344.4,,,,,
203,10/09/15 07:00:00 PM,14.325,0.0,,,,,
204,10/09/15 10:00:00 PM,13.461,0.0,,,,,
205,10/10/15 01:00:00 AM,12.980,0.0,,,,,
206,10/10/15 04:00:00 AM,13.942,0.0,,,,,
207,10/10/15 07:00:00 AM,13.846,0.0,,,,,
208,10/10/15 10:00:00 AM,14.517,505.9,,,,,
209,10/10/15 01:00:00 PM,14.804,602.8,,,,,
210,10/10/15 04:00:00 PM,12.883,64.6,,,,,
211,10/10/15 07:00:00 PM,11.334,0.0,,,,,
212,10/10/15 10:00:00 PM,10.846,0.0,,,,,
