"Plot Title: AB08-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603880, SEN S/N: 10603880)","Intensity, Lux (LGR S/N: 10603880, SEN S/N: 10603880)","Bad Battery (LGR S/N: 10603880)","Good Battery (LGR S/N: 10603880)","Coupler Attached (LGR S/N: 10603880)","Host Connected (LGR S/N: 10603880)","Stopped (LGR S/N: 10603880)","End Of File (LGR S/N: 10603880)"
415,11/07/15 07:00:00 AM,4.519,0.0,,,,,,
416,11/07/15 10:00:00 AM,5.141,1722.2,,,,,,
417,11/07/15 01:00:00 PM,6.064,656.6,,,,,,
418,11/07/15 04:00:00 PM,6.268,1463.9,,,,,,
419,11/07/15 07:00:00 PM,5.450,0.0,,,,,,
420,11/07/15 10:00:00 PM,5.655,0.0,,,,,,
421,11/08/15 01:00:00 AM,5.244,0.0,,,,,,
422,11/08/15 04:00:00 AM,3.683,0.0,,,,,,
423,11/08/15 07:00:00 AM,3.155,0.0,,,,,,
424,11/08/15 10:00:00 AM,3.155,1141.0,,,,,,
425,11/08/15 01:00:00 PM,4.727,3616.7,,,,,,
426,11/08/15 04:00:00 PM,4.727,1980.6,,,,,,
