"Plot Title: AB08-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603895, SEN S/N: 10603895)","Intensity, Lux (LGR S/N: 10603895, SEN S/N: 10603895)","Coupler Attached (LGR S/N: 10603895)","Host Connected (LGR S/N: 10603895)","Coupler Detached (LGR S/N: 10603895)","Stopped (LGR S/N: 10603895)","End Of File (LGR S/N: 10603895)"
254,10/18/15 04:00:00 AM,10.161,0.0,,,,,
255,10/18/15 07:00:00 AM,9.571,0.0,,,,,
256,10/18/15 10:00:00 AM,9.669,775.0,,,,,
257,10/18/15 01:00:00 PM,9.472,818.1,,,,,
258,10/18/15 04:00:00 PM,9.373,419.8,,,,,
259,10/18/15 07:00:00 PM,9.373,0.0,,,,,
260,10/18/15 10:00:00 PM,9.275,0.0,,,,,
261,10/19/15 01:00:00 AM,9.373,0.0,,,,,
262,10/19/15 04:00:00 AM,9.275,0.0,,,,,
263,10/19/15 07:00:00 AM,9.275,0.0,,,,,
264,10/19/15 10:00:00 AM,9.965,1722.2,,,,,
265,10/19/15 01:00:00 PM,10.748,2669.5,,,,,
266,10/19/15 04:00:00 PM,10.846,1463.9,,,,,
267,10/19/15 07:00:00 PM,9.669,0.0,,,,,
268,10/19/15 10:00:00 PM,9.275,0.0,,,,,
269,10/20/15 01:00:00 AM,9.077,0.0,,,,,
270,10/20/15 04:00:00 AM,7.983,0.0,,,,,
271,10/20/15 07:00:00 AM,6.978,0.0,,,,,
272,10/20/15 10:00:00 AM,6.978,947.2,,,,,
273,10/20/15 01:00:00 PM,8.282,1894.5,,,,,
274,10/20/15 04:00:00 PM,9.275,1194.8,,,,,
275,10/20/15 07:00:00 PM,7.582,0.0,,,,,
276,10/20/15 10:00:00 PM,6.471,0.0,,,,,
277,10/21/15 01:00:00 AM,5.450,0.0,,,,,
278,10/21/15 04:00:00 AM,5.244,0.0,,,,,
279,10/21/15 07:00:00 AM,5.141,0.0,,,,,
280,10/21/15 10:00:00 AM,7.179,2152.8,,,,,
281,10/21/15 01:00:00 PM,10.357,4133.4,,,,,
282,10/21/15 04:00:00 PM,10.455,1550.0,,,,,
283,10/21/15 07:00:00 PM,9.571,0.0,,,,,
284,10/21/15 10:00:00 PM,8.680,0.0,,,,,
285,10/22/15 01:00:00 AM,7.882,0.0,,,,,
286,10/22/15 04:00:00 AM,6.573,0.0,,,,,
287,10/22/15 07:00:00 AM,5.655,0.0,,,,,
288,10/22/15 10:00:00 AM,4.102,247.6,,,,,
289,10/22/15 01:00:00 PM,6.064,1377.8,,,,,
290,10/22/15 04:00:00 PM,7.381,1291.7,,,,,
291,10/22/15 07:00:00 PM,5.244,0.0,,,,,
292,10/22/15 10:00:00 PM,3.367,0.0,,,,,
293,10/23/15 01:00:00 AM,1.872,0.0,,,,,
294,10/23/15 04:00:00 AM,1.764,0.0,,,,,
295,10/23/15 07:00:00 AM,2.195,0.0,,,,,
296,10/23/15 10:00:00 AM,4.207,1636.1,,,,,
297,10/23/15 01:00:00 PM,8.581,4650.0,,,,,
298,10/23/15 04:00:00 PM,8.680,1722.2,,,,,
299,10/23/15 07:00:00 PM,6.978,0.0,,,,,
300,10/23/15 10:00:00 PM,6.674,0.0,,,,,
301,10/24/15 01:00:00 AM,6.370,0.0,,,,,
302,10/24/15 04:00:00 AM,5.655,0.0,,,,,
303,10/24/15 07:00:00 AM,5.757,0.0,,,,,
304,10/24/15 10:00:00 AM,7.582,871.9,,,,,
305,10/24/15 01:00:00 PM,9.077,2583.4,,,,,
306,10/24/15 04:00:00 PM,9.669,1141.0,,,,,
307,10/24/15 07:00:00 PM,8.082,0.0,,,,,
308,10/24/15 10:00:00 PM,6.978,0.0,,,,,
309,10/25/15 01:00:00 AM,7.179,0.0,,,,,
310,10/25/15 04:00:00 AM,6.775,0.0,,,,,
311,10/25/15 07:00:00 AM,6.674,0.0,,,,,
312,10/25/15 10:00:00 AM,7.882,2755.6,,,,,
313,10/25/15 01:00:00 PM,10.063,2755.6,,,,,
314,10/25/15 04:00:00 PM,7.381,990.3,,,,,
315,10/25/15 07:00:00 PM,5.962,0.0,,,,,
316,10/25/15 10:00:00 PM,6.775,0.0,,,,,
317,10/26/15 01:00:00 AM,6.674,0.0,,,,,
318,10/26/15 04:00:00 AM,5.347,0.0,,,,,
319,10/26/15 07:00:00 AM,4.727,0.0,,,,,
320,10/26/15 10:00:00 AM,4.727,1636.1,,,,,
321,10/26/15 01:00:00 PM,5.962,1722.2,,,,,
322,10/26/15 04:00:00 PM,6.877,1808.3,,,,,
323,10/26/15 07:00:00 PM,5.757,0.0,,,,,
324,10/26/15 10:00:00 PM,5.552,0.0,,,,,
325,10/27/15 01:00:00 AM,4.727,0.0,,,,,
326,10/27/15 04:00:00 AM,3.893,0.0,,,,,
327,10/27/15 07:00:00 AM,4.207,0.0,,,,,
328,10/27/15 10:00:00 AM,5.552,2238.9,,,,,
329,10/27/15 01:00:00 PM,7.983,2583.4,,,,,
330,10/27/15 04:00:00 PM,8.382,1722.2,,,,,
331,10/27/15 07:00:00 PM,6.064,0.0,,,,,
332,10/27/15 10:00:00 PM,5.757,0.0,,,,,
333,10/28/15 01:00:00 AM,6.064,0.0,,,,,
334,10/28/15 04:00:00 AM,6.268,0.0,,,,,
335,10/28/15 07:00:00 AM,6.573,0.0,,,,,
336,10/28/15 10:00:00 AM,7.381,2411.1,,,,,
337,10/28/15 01:00:00 PM,8.581,1377.8,,,,,
338,10/28/15 04:00:00 PM,7.481,602.8,,,,,
339,10/28/15 07:00:00 PM,6.166,0.0,,,,,
340,10/28/15 10:00:00 PM,6.064,0.0,,,,,
341,10/29/15 01:00:00 AM,5.655,0.0,,,,,
342,10/29/15 04:00:00 AM,5.244,0.0,,,,,
343,10/29/15 07:00:00 AM,5.037,0.0,,,,,
344,10/29/15 10:00:00 AM,5.141,290.6,,,,,
345,10/29/15 01:00:00 PM,7.381,3444.5,,,,,
346,10/29/15 04:00:00 PM,8.282,1636.1,,,,,
347,10/29/15 07:00:00 PM,7.381,0.0,,,,,
348,10/29/15 10:00:00 PM,6.064,0.0,,,,,
349,10/30/15 01:00:00 AM,5.450,0.0,,,,,
350,10/30/15 04:00:00 AM,5.860,0.0,,,,,
351,10/30/15 07:00:00 AM,6.268,0.0,,,,,
352,10/30/15 10:00:00 AM,7.481,1377.8,,,,,
353,10/30/15 01:00:00 PM,9.275,1302.4,,,,,
354,10/30/15 04:00:00 PM,8.978,1205.6,,,,,
355,10/30/15 07:00:00 PM,8.282,0.0,,,,,
356,10/30/15 10:00:00 PM,7.882,0.0,,,,,
357,10/31/15 01:00:00 AM,7.381,0.0,,,,,
358,10/31/15 04:00:00 AM,7.782,0.0,,,,,
359,10/31/15 07:00:00 AM,8.082,0.0,,,,,
360,10/31/15 10:00:00 AM,8.282,258.3,,,,,
361,10/31/15 01:00:00 PM,8.481,322.9,,,,,
362,10/31/15 04:00:00 PM,7.079,107.6,,,,,
363,10/31/15 07:00:00 PM,5.860,0.0,,,,,
364,10/31/15 10:00:00 PM,4.519,0.0,,,,,
365,11/01/15 01:00:00 AM,4.311,0.0,,,,,
366,11/01/15 04:00:00 AM,5.037,0.0,,,,,
367,11/01/15 07:00:00 AM,4.207,0.0,,,,,
368,11/01/15 10:00:00 AM,1.548,839.6,,,,,
369,11/01/15 01:00:00 PM,4.415,2497.2,,,,,
370,11/01/15 04:00:00 PM,3.578,1162.5,,,,,
371,11/01/15 07:00:00 PM,2.624,0.0,,,,,
372,11/01/15 10:00:00 PM,2.517,0.0,,,,,
373,11/02/15 01:00:00 AM,2.303,0.0,,,,,
374,11/02/15 04:00:00 AM,2.624,0.0,,,,,
375,11/02/15 07:00:00 AM,2.624,0.0,,,,,
376,11/02/15 10:00:00 AM,3.049,1550.0,,,,,
377,11/02/15 01:00:00 PM,5.347,4822.3,,,,,
378,11/02/15 04:00:00 PM,5.141,1291.7,,,,,
379,11/02/15 07:00:00 PM,3.261,0.0,,,,,
380,11/02/15 10:00:00 PM,2.410,0.0,,,,,
381,11/03/15 01:00:00 AM,2.088,0.0,,,,,
382,11/03/15 04:00:00 AM,1.764,0.0,,,,,
383,11/03/15 07:00:00 AM,1.548,0.0,,,,,
384,11/03/15 10:00:00 AM,1.656,1377.8,,,,,
385,11/03/15 01:00:00 PM,2.624,1980.6,,,,,
386,11/03/15 04:00:00 PM,2.837,1980.6,,,,,
387,11/03/15 07:00:00 PM,1.003,0.0,,,,,
388,11/03/15 10:00:00 PM,0.343,0.0,,,,,
389,11/04/15 01:00:00 AM,0.121,0.0,,,,,
390,11/04/15 04:00:00 AM,-0.549,0.0,,,,,
391,11/04/15 07:00:00 AM,-0.887,0.0,,,,,
392,11/04/15 10:00:00 AM,-0.662,258.3,,,,,
393,11/04/15 01:00:00 PM,0.232,1894.5,,,,,
394,11/04/15 04:00:00 PM,0.674,764.2,,,,,
395,11/04/15 07:00:00 PM,0.674,0.0,,,,,
396,11/04/15 10:00:00 PM,0.674,0.0,,,,,
397,11/05/15 01:00:00 AM,0.563,0.0,,,,,
398,11/05/15 04:00:00 AM,0.893,0.0,,,,,
399,11/05/15 07:00:00 AM,1.003,0.0,,,,,
400,11/05/15 10:00:00 AM,1.656,1270.1,,,,,
401,11/05/15 01:00:00 PM,3.367,2927.8,,,,,
402,11/05/15 04:00:00 PM,3.261,968.8,,,,,
403,11/05/15 07:00:00 PM,2.624,0.0,,,,,
404,11/05/15 10:00:00 PM,1.872,0.0,,,,,
405,11/06/15 01:00:00 AM,1.656,0.0,,,,,
406,11/06/15 04:00:00 AM,0.893,0.0,,,,,
407,11/06/15 07:00:00 AM,1.112,0.0,,,,,
408,11/06/15 10:00:00 AM,2.517,1894.5,,,,,
409,11/06/15 01:00:00 PM,4.623,2583.4,,,,,
410,11/06/15 04:00:00 PM,4.727,979.5,,,,,
411,11/06/15 07:00:00 PM,3.893,0.0,,,,,
412,11/06/15 10:00:00 PM,3.998,0.0,,,,,
413,11/07/15 01:00:00 AM,4.102,0.0,,,,,
414,11/07/15 04:00:00 AM,4.519,0.0,,,,,
415,11/07/15 07:00:00 AM,4.519,0.0,,,,,
416,11/07/15 10:00:00 AM,5.244,1377.8,,,,,
