"Plot Title: AB08-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Intensity, Lux (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Coupler Attached (LGR S/N: 10603889)","Host Connected (LGR S/N: 10603889)","Stopped (LGR S/N: 10603889)","End Of File (LGR S/N: 10603889)"
150,10/05/15 04:00:00 AM,8.581,0.0,,,,
151,10/05/15 07:00:00 AM,8.082,10.8,,,,
152,10/05/15 10:00:00 AM,8.581,893.4,,,,
153,10/05/15 01:00:00 PM,11.819,2583.4,,,,
154,10/05/15 04:00:00 PM,14.709,3100.0,,,,
155,10/05/15 07:00:00 PM,12.594,0.0,,,,
156,10/05/15 10:00:00 PM,10.944,0.0,,,,
157,10/06/15 01:00:00 AM,10.161,0.0,,,,
158,10/06/15 04:00:00 AM,9.077,0.0,,,,
159,10/06/15 07:00:00 AM,9.176,75.3,,,,
160,10/06/15 10:00:00 AM,11.819,3616.7,,,,
161,10/06/15 01:00:00 PM,14.900,5511.1,,,,
162,10/06/15 04:00:00 PM,14.613,4133.4,,,,
163,10/06/15 07:00:00 PM,11.625,0.0,,,,
164,10/06/15 10:00:00 PM,10.944,0.0,,,,
165,10/07/15 01:00:00 AM,9.768,0.0,,,,
166,10/07/15 04:00:00 AM,9.571,0.0,,,,
167,10/07/15 07:00:00 AM,9.275,0.0,,,,
168,10/07/15 10:00:00 AM,11.139,2755.6,,,,
169,10/07/15 01:00:00 PM,12.013,3100.0,,,,
170,10/07/15 04:00:00 PM,13.076,3444.5,,,,
171,10/07/15 07:00:00 PM,11.819,0.0,,,,
172,10/07/15 10:00:00 PM,11.334,0.0,,,,
173,10/08/15 01:00:00 AM,11.236,0.0,,,,
174,10/08/15 04:00:00 AM,10.259,0.0,,,,
175,10/08/15 07:00:00 AM,8.879,0.0,,,,
176,10/08/15 10:00:00 AM,10.063,1377.8,,,,
177,10/08/15 01:00:00 PM,12.594,5166.7,,,,
178,10/08/15 04:00:00 PM,13.750,4822.3,,,,
179,10/08/15 07:00:00 PM,12.110,0.0,,,,
180,10/08/15 10:00:00 PM,11.236,0.0,,,,
181,10/09/15 01:00:00 AM,10.063,0.0,,,,
182,10/09/15 04:00:00 AM,9.669,0.0,,,,
183,10/09/15 07:00:00 AM,9.373,0.0,,,,
184,10/09/15 10:00:00 AM,12.401,3272.2,,,,
185,10/09/15 01:00:00 PM,14.230,4133.4,,,,
186,10/09/15 04:00:00 PM,13.750,1980.6,,,,
187,10/09/15 07:00:00 PM,12.883,0.0,,,,
188,10/09/15 10:00:00 PM,11.431,0.0,,,,
189,10/10/15 01:00:00 AM,10.846,0.0,,,,
190,10/10/15 04:00:00 AM,10.063,0.0,,,,
191,10/10/15 07:00:00 AM,9.669,0.0,,,,
192,10/10/15 10:00:00 AM,12.980,3961.1,,,,
193,10/10/15 01:00:00 PM,12.401,2497.2,,,,
194,10/10/15 04:00:00 PM,10.748,344.4,,,,
195,10/10/15 07:00:00 PM,8.978,0.0,,,,
196,10/10/15 10:00:00 PM,8.282,0.0,,,,
197,10/11/15 01:00:00 AM,7.179,0.0,,,,
198,10/11/15 04:00:00 AM,5.244,0.0,,,,
199,10/11/15 07:00:00 AM,4.102,0.0,,,,
200,10/11/15 10:00:00 AM,4.207,678.1,,,,
201,10/11/15 01:00:00 PM,6.573,1173.3,,,,
202,10/11/15 04:00:00 PM,7.179,1808.3,,,,
203,10/11/15 07:00:00 PM,7.481,0.0,,,,
