"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
151,10/11/15 07:00:00 AM,9.077,0.0,
152,10/11/15 10:00:00 AM,9.077,150.7,
153,10/11/15 01:00:00 PM,12.207,818.1,
154,10/11/15 04:00:00 PM,12.304,215.3,
155,10/11/15 07:00:00 PM,10.651,0.0,
156,10/11/15 10:00:00 PM,9.768,0.0,
157,10/12/15 01:00:00 AM,10.259,0.0,
158,10/12/15 04:00:00 AM,9.768,0.0,
159,10/12/15 07:00:00 AM,9.472,0.0,
160,10/12/15 10:00:00 AM,10.553,183.0,
161,10/12/15 01:00:00 PM,14.134,624.3,
162,10/12/15 04:00:00 PM,14.613,183.0,
163,10/12/15 07:00:00 PM,13.846,0.0,
164,10/12/15 10:00:00 PM,13.173,0.0,
165,10/13/15 01:00:00 AM,12.980,0.0,
166,10/13/15 04:00:00 AM,12.883,0.0,
167,10/13/15 07:00:00 AM,13.076,0.0,
168,10/13/15 10:00:00 AM,13.076,75.3,
169,10/13/15 01:00:00 PM,15.187,731.9,
170,10/13/15 04:00:00 PM,14.421,236.8,
171,10/13/15 07:00:00 PM,12.690,0.0,
172,10/13/15 10:00:00 PM,12.207,0.0,
173,10/14/15 01:00:00 AM,9.866,0.0,
174,10/14/15 04:00:00 AM,8.581,0.0,
175,10/14/15 07:00:00 AM,7.481,0.0,
176,10/14/15 10:00:00 AM,8.282,172.2,
177,10/14/15 01:00:00 PM,13.846,667.4,
178,10/14/15 04:00:00 PM,14.421,236.8,
179,10/14/15 07:00:00 PM,12.883,0.0,
180,10/14/15 10:00:00 PM,11.625,0.0,
181,10/15/15 01:00:00 AM,11.431,0.0,
182,10/15/15 04:00:00 AM,12.013,0.0,
183,10/15/15 07:00:00 AM,12.110,0.0,
184,10/15/15 10:00:00 AM,12.883,150.7,
185,10/15/15 01:00:00 PM,17.760,667.4,
186,10/15/15 04:00:00 PM,17.950,236.8,
187,10/15/15 07:00:00 PM,16.618,0.0,
188,10/15/15 10:00:00 PM,14.709,0.0,
189,10/16/15 01:00:00 AM,13.750,0.0,
190,10/16/15 04:00:00 AM,13.846,0.0,
191,10/16/15 07:00:00 AM,14.517,0.0,
