"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
158,10/08/13 03:00:00 PM,1.221,,
159,10/08/13 05:00:00 PM,1.221,,
160,10/08/13 07:00:00 PM,1.221,,
161,10/08/13 09:00:00 PM,1.221,,
162,10/08/13 11:00:00 PM,1.221,,
163,10/09/13 01:00:00 AM,1.221,,
164,10/09/13 03:00:00 AM,1.221,,
165,10/09/13 05:00:00 AM,1.221,,
166,10/09/13 07:00:00 AM,1.221,,
167,10/09/13 09:00:00 AM,1.221,,
168,10/09/13 11:00:00 AM,1.221,,
169,10/09/13 01:00:00 PM,1.221,,
170,10/09/13 03:00:00 PM,1.221,,
171,10/09/13 05:00:00 PM,1.221,,
172,10/09/13 07:00:00 PM,1.221,,
173,10/09/13 09:00:00 PM,1.221,,
174,10/09/13 11:00:00 PM,1.221,,
175,10/10/13 01:00:00 AM,1.112,,
176,10/10/13 03:00:00 AM,1.221,,
177,10/10/13 05:00:00 AM,1.112,,
178,10/10/13 07:00:00 AM,1.112,,
179,10/10/13 09:00:00 AM,1.112,,
180,10/10/13 11:00:00 AM,1.112,,
181,10/10/13 01:00:00 PM,1.112,,
182,10/10/13 03:00:00 PM,1.112,,
183,10/10/13 05:00:00 PM,1.112,,
184,10/10/13 07:00:00 PM,1.112,,
185,10/10/13 09:00:00 PM,1.112,,
186,10/10/13 11:00:00 PM,1.112,,
187,10/11/13 01:00:00 AM,1.112,,
188,10/11/13 03:00:00 AM,1.112,,
189,10/11/13 05:00:00 AM,1.112,,
190,10/11/13 07:00:00 AM,1.112,,
191,10/11/13 09:00:00 AM,1.112,,
192,10/11/13 11:00:00 AM,1.112,,
193,10/11/13 01:00:00 PM,1.112,,
194,10/11/13 03:00:00 PM,1.112,,
195,10/11/13 05:00:00 PM,1.112,,
196,10/11/13 07:00:00 PM,1.112,,
197,10/11/13 09:00:00 PM,1.112,,
198,10/11/13 11:00:00 PM,1.112,,
199,10/12/13 01:00:00 AM,1.112,,
200,10/12/13 03:00:00 AM,1.112,,
201,10/12/13 05:00:00 AM,1.112,,
202,10/12/13 07:00:00 AM,1.112,,
203,10/12/13 09:00:00 AM,1.112,,
204,10/12/13 11:00:00 AM,1.112,,
205,10/12/13 01:00:00 PM,1.112,,
206,10/12/13 03:00:00 PM,1.112,,
207,10/12/13 05:00:00 PM,1.112,,
208,10/12/13 07:00:00 PM,1.112,,
209,10/12/13 09:00:00 PM,1.112,,
210,10/12/13 11:00:00 PM,1.112,,
211,10/13/13 01:00:00 AM,1.112,,
212,10/13/13 03:00:00 AM,1.112,,
213,10/13/13 05:00:00 AM,1.112,,
