Year,Transect,Site_Num,Site_Code,latitude,longitude,meltdate,SDD,Source
2018,Glacier Basin,8,GB8,46.89611625,-121.6872923,6/18/2018,169,hobo
2018,Glacier Basin,9,GB9,46.89422177,-121.6928842,6/20/2018,171,hobo
2018,Glacier Basin,10,GB10,46.89297102,-121.6964053,6/12/2018,163,hobo
2018,Glacier Basin,11,GB11,46.89088996,-121.6983855,6/9/2018,160,hobo
2018,Glacier Basin,12,GB12,46.89051831,-121.6987283,6/20/2018,171,hobo
2018,Glacier Basin,13,GB13,46.89003509,-121.6993236,6/13/2018,164,hobo
2018,Glacier Basin,14,GB14,46.88931509,-121.7001941,6/6/2018,157,hobo
2018,Glacier Basin,15,GB15,46.88849903,-121.7043276,6/17/2018,168,hobo
2018,Glacier Basin,16,GB16,46.88931509,-121.7001941,5/26/2018,146,hobo
2018,Glacier Basin,17,GB17,46.88849903,-121.7043276,6/18/2018,169,hobo
