Species,Year,Site,Phenophase,SDD,Opt,Duration,Height
CAMI,2017,GB5,flwr,149,219.5,9.4846,23.8073
CAMI,2017,GB6,flwr,174,216.682,2.9176,5.0762
CAMI,2017,GB11,fruit,175,232.5016,7.06,17.7408
CAMI,2017,GB14,fruit,174,238.5546,12.0646,27.5748
CAMI,2017,GB2,fruit,148,216.5,10.6076,27.3382
CAMI,2017,GB6,fruit,174,225.7734,7.9258,3.7739
CAMI,2017,GB11,seed,175,237.4413,0.3808,1.8679
CAMI,2017,GB14,seed,174,247.9834,5.4841,25.0933
CAMI,2017,GB2,seed,148,231.2328,12.4746,31.2747
CAMI,2018,GB11,bud,160,204.2198,12.9244,29.6188
CAMI,2018,GB12,bud,171,215.9018,5.532,3.1234
CAMI,2018,GB14,bud,157,205.6222,10.6286,26.6587
CAMI,2018,GB2,bud,134,191.6327,23.3273,53.8342
CAMI,2018,GB11,flwr,160,214.2987,9.5843,2.8548
CAMI,2018,GB14,flwr,157,208.8757,9.4437,21.4148
CAMI,2018,GB2,flwr,134,208.5008,23.4109,58.6958
CAMI,2018,GB14,fruit,157,220.4244,4.9506,5.9889
CAMI,2018,GB2,fruit,134,229.1257,12.1305,30.7719
CAMI,2018,GB14,seed,157,240.5492,6.7002,11.1766
CAMI,2018,GB2,seed,134,246.9998,16.8886,42.4077
CAPA,2013,RL2,bud,183,201.5664,13.7202,34.0051
CAPA,2013,RL4,bud,192,206.4995,10.2676,25.7674
CAPA,2013,RL5,bud,188,210.8537,29.2124,12.6268
CAPA,2013,RL6,bud,195,210.077,8.274,11.1617
CAPA,2013,RL7,bud,194,214.6252,8.028,15.579
CAPA,2013,RL8,bud,193,218.4516,9.498,23.8348
CAPA,2013,RL9,bud,197,214.1407,10.3582,25.9666
CAPA,2013,RL2,flwr,183,218.7098,18.1102,43.2429
CAPA,2013,RL4,flwr,192,219.2448,12.837,32.1835
CAPA,2013,RL5,flwr,188,242.3961,16.0801,33.5517
CAPA,2013,RL6,flwr,195,218.8245,8.0157,9.2467
CAPA,2013,RL7,flwr,194,222.5,11.5724,29.0349
CAPA,2013,RL8,flwr,193,228.5,11.1479,28.1977
CAPA,2013,RL9,flwr,197,224.5001,13.4974,33.8563
CAPA,2013,RL2,fruit,183,234.3034,10.9101,21.7063
CAPA,2013,RL4,fruit,192,233.7741,10.9245,25.1285
CAPA,2013,RL5,fruit,188,238.1465,12.4282,7.1559
CAPA,2013,RL6,fruit,195,241.8948,11.3286,8.4374
CAPA,2013,RL7,fruit,194,239.0689,8.659,14.5607
CAPA,2013,RL8,fruit,193,243.1826,12.158,30.8179
CAPA,2013,RL9,fruit,197,239.3655,12.0989,30.3414
CAPA,2013,RL2,seed,183,253.1479,10.2149,12.2416
CAPA,2013,RL4,seed,192,251.1895,12.5846,24.5105
CAPA,2013,RL6,seed,195,260.2969,5.758,6.1969
CAPA,2013,RL7,seed,194,258.0554,9.7471,15.9916
CAPA,2013,RL8,seed,193,257,10.1262,25.5068
CAPA,2013,RL9,seed,197,258.0078,11.7242,26.8892
CAPA,2014,RL2,bud,183,211.1201,8.7223,21.8658
CAPA,2014,RL5,bud,193,245.7396,7.0361,11.5381
CAPA,2014,RL6,bud,196,218.0415,11.7457,8.4725
CAPA,2014,RL7,bud,197,234.2392,7.1499,7.2581
CAPA,2014,RL8,bud,194,221.0154,13.0779,27.6456
CAPA,2014,RL9,bud,193,223.2053,17.774,44.5557
CAPA,2014,RL2,flwr,183,221.3892,9.4475,22.1243
CAPA,2014,RL5,flwr,193,236.0364,4.7312,3.3469
CAPA,2014,RL6,flwr,196,227.766,11.0372,13.3796
CAPA,2014,RL7,flwr,197,245.5393,10.6407,17.0785
CAPA,2014,RL8,flwr,194,229.6356,14.9534,37.4937
CAPA,2014,RL9,flwr,193,232.61,21.2981,53.4084
CAPA,2014,RL2,fruit,183,234.4094,9.6716,20.9278
CAPA,2014,RL6,fruit,196,244.1742,9.7771,9.6451
CAPA,2014,RL7,fruit,197,254.7555,9.6947,7.3207
CAPA,2014,RL8,fruit,194,246.1417,12.5104,31.3609
CAPA,2014,RL9,fruit,193,255.6364,15.8214,39.8058
CAPA,2014,RL2,seed,183,256.7816,11.7719,20.6433
CAPA,2014,RL6,seed,196,253.2717,10.3539,6.9933
CAPA,2014,RL7,seed,197,252.6282,8.704,4.8906
CAPA,2014,RL8,seed,194,258.9233,15.5153,29.3639
CAPA,2014,RL9,seed,193,265.3793,12.1543,23.2886
CAPA,2015,RL2,bud,140,166.5064,10.3209,26.143
CAPA,2015,RL5,bud,140,166.5709,22.0616,9.9304
CAPA,2015,RL6,bud,151,164.9802,10.0371,17.4069
CAPA,2015,RL7,bud,149,176.5117,10.3094,8.8877
CAPA,2015,RL8,bud,149,172.4998,9.3743,23.5313
CAPA,2015,RL9,bud,159,180.0972,20.9448,46.8938
