"out_filename","filename","filepath","n_measurements","log_interval","date_min","date_max","date_lab","temp_min","temp_max","hobo","ibutton","formatted","datetime","tz"
"MW_soil_GB-5_2018-09-2019-06.csv","GB-5","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-5.csv",3218,2,2018-09-26 13:00:00,2019-06-21 15:08:06,"2018-09-2019-06",0.784,22.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-6_2018-09-2019-06.csv","GB-6","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-6.csv",3217,2,2018-09-26 13:00:00,2019-06-21 14:54:56,"2018-09-2019-06",-0.887,25.805,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-8_2018-09-2019-06.csv","GB-8","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-8.csv",3218,2,2018-09-26 13:00:00,2019-06-21 15:01:34,"2018-09-2019-06",-1.341,22.333,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-9_2018-09-2019-07.csv","GB-9","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-9.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:58:57,"2018-09-2019-07",-1.799,22.812,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-1_2018-09-2019-07.csv","RL-1","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-1.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:38:10,"2018-09-2019-07",0.121,22.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-10_2018-09-2019-07.csv","RL-10","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-10.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:56:45,"2018-09-2019-07",0.01,24.255,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-2_2018-09-2019-07.csv","RL-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-2.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:42:24,"2018-09-2019-07",0.01,22.333,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-3_2018-09-2019-07.csv","RL-3","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-3.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:44:55,"2018-09-2019-07",0.232,23.004,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-4_2018-09-2019-07.csv","RL-4","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-4.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:52:21,"2018-09-2019-07",0.01,28.357,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-5_2018-09-2019-07.csv","RL-5","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-5.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:49:36,"2018-09-2019-07",0.121,22.142,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-6_2018-09-2019-07.csv","RL-6","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-6.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:52:31,"2018-09-2019-07",0.121,24.351,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-7_2018-09-2019-07.csv","RL-7","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-7.csv",3455,2,2018-09-26 13:00:00,2019-07-11 09:18:43,"2018-09-2019-07",0.121,26.195,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-8_2018-09-2019-07.csv","RL-8","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-8.csv",3455,2,2018-09-26 13:00:00,2019-07-11 09:18:17,"2018-09-2019-07",-0.325,24.545,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-9_2018-09-2019-07.csv","RL-9","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 RL/RL-9.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:36:41,"2018-09-2019-07",0.01,22.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-10_2019-10-2020-08.csv","GB-10","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-10.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:19:16,"2019-10-2020-08",-2.261,22.333,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-12_2019-10-2020-08.csv","GB-12","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-12.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:15:29,"2019-10-2020-08",0.01,22.429,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-13_2019-10-2020-08.csv","GB-13","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-13.csv",3697,2,2019-10-01 13:00:00,2020-08-04 13:03:49,"2019-10-2020-08",-0.102,22.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-14_2019-10-2020-08.csv","GB-14","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-14.csv",3804,2,2019-10-01 13:00:00,2020-08-13 12:36:25,"2019-10-2020-08",-0.213,29.352,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-15_2019-10-2020-08.csv","GB-15","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-15.csv",3804,2,2019-10-01 13:00:00,2020-08-13 12:31:27,"2019-10-2020-08",-0.662,27.37,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-16_2019-10-2020-08.csv","GB-16","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-16.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:13:59,"2019-10-2020-08",-1.001,23.773,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-2_2019-10-2020-08.csv","GB-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-2.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:18:26,"2019-10-2020-08",-1.914,26.585,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-7_2019-10-2020-08.csv","GB-7","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-7.csv",3720,2,2019-10-01 13:00:00,2020-08-06 11:57:34,"2019-10-2020-08",-0.213,43.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-9_2019-10-2020-08.csv","GB-9","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 GB/GB-9.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:07:12,"2019-10-2020-08",-0.887,22.238,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-1_2019-10-2020-08.csv","RL-1","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-1.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:36:41,"2019-10-2020-08",0.01,34.058,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-10_2019-10-2020-08.csv","RL-10","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-10.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:36:24,"2019-10-2020-08",-1.799,27.37,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-11_2019-10-2020-08.csv","RL-11","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-11.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:32:30,"2019-10-2020-08",-3.316,37.604,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-2_2019-10-2020-08.csv","RL-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-2.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:28:37,"2019-10-2020-08",-0.213,35.756,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-4_2019-10-2020-08.csv","RL-4","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-4.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:39:33,"2019-10-2020-08",-0.325,37.604,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-5_2019-10-2020-08.csv","RL-5","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-5.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:36:57,"2019-10-2020-08",-0.325,29.452,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-6_2019-10-2020-08.csv","RL-6","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-6.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:38:10,"2019-10-2020-08",-1.228,46.337,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-7_2019-10-2020-08.csv","RL-7","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2020 RL/RL-7.csv",3720,2,2019-10-01 13:00:00,2020-08-06 12:32:41,"2019-10-2020-08",-0.437,41.458,TRUE,FALSE,FALSE,FALSE,"PDT"
