"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2013,10,26,7,0,0.674
2013,10,26,9,0,0.674
2013,10,26,11,0,1.98
2013,10,26,13,0,11.625
2013,10,26,15,0,11.625
2013,10,26,17,0,6.674
2013,10,26,19,0,3.788
2013,10,26,21,0,2.41
2013,10,26,23,0,1.656
2013,10,27,1,0,1.33
2013,10,27,3,0,1.003
2013,10,27,5,0,0.893
2013,10,27,7,0,0.784
2013,10,27,9,0,0.674
2013,10,27,11,0,0.674
2013,10,27,13,0,0.674
2013,10,27,15,0,0.563
2013,10,27,17,0,0.674
2013,10,27,19,0,0.674
2013,10,27,21,0,0.563
2013,10,27,23,0,0.563
2013,10,28,1,0,0.563
2013,10,28,3,0,0.453
2013,10,28,5,0,0.453
2013,10,28,7,0,0.343
2013,10,28,9,0,0.343
2013,10,28,11,0,0.343
2013,10,28,13,0,1.221
2013,10,28,15,0,3.893
2013,10,28,17,0,1.439
2013,10,28,19,0,0.784
2013,10,28,21,0,0.563
2013,10,28,23,0,0.453
2013,10,29,1,0,0.343
2013,10,29,3,0,0.232
2013,10,29,5,0,0.121
2013,10,29,7,0,-0.102
2013,10,29,9,0,-0.102
2013,10,29,11,0,0.121
2013,10,29,13,0,1.003
2013,10,29,15,0,3.155
2013,10,29,17,0,1.112
2013,10,29,19,0,0.674
2013,10,29,21,0,0.453
2013,10,29,23,0,0.343
2013,10,30,1,0,0.232
2013,10,30,3,0,0.232
2013,10,30,5,0,0.121
2013,10,30,7,0,0.121
2013,10,30,9,0,0.121
2013,10,30,11,0,0.121
2013,10,30,13,0,0.674
2013,10,30,15,0,4.207
2013,10,30,17,0,3.261
2013,10,30,19,0,1.764
2013,10,30,21,0,1.112
2013,10,30,23,0,0.893
2013,10,31,1,0,0.784
2013,10,31,3,0,0.674
2013,10,31,5,0,0.453
2013,10,31,7,0,0.453
2013,10,31,9,0,0.893
2013,10,31,11,0,3.049
2013,10,31,13,0,5.86
2013,10,31,15,0,9.077
2013,10,31,17,0,6.37
2013,10,31,19,0,4.415
2013,10,31,21,0,3.472
2013,10,31,23,0,2.943
2013,11,1,1,0,2.41
2013,11,1,3,0,2.088
