"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2018,10,23,17,0,49.582
2018,10,23,19,0,44.922
2018,10,23,21,0,42.915
2018,10,23,23,0,41.994
2018,10,24,1,0,40.881
2018,10,24,3,0,39.573
2018,10,24,5,0,38.44
2018,10,24,7,0,37.297
2018,10,24,9,0,37.297
2018,10,24,11,0,42.179
2018,10,24,13,0,47.266
2018,10,24,15,0,47.802
2018,10,24,17,0,44.56
2018,10,24,19,0,41.994
2018,10,24,21,0,39.573
2018,10,24,23,0,38.061
2018,10,25,1,0,36.145
2018,10,25,3,0,35.951
2018,10,25,5,0,35.175
2018,10,25,7,0,34.394
2018,10,25,9,0,35.564
2018,10,25,11,0,39.573
2018,10,25,13,0,40.321
2018,10,25,15,0,41.254
2018,10,25,17,0,41.625
2018,10,25,19,0,40.509
2018,10,25,21,0,40.134
2018,10,25,23,0,40.134
2018,10,26,1,0,40.509
2018,10,26,3,0,41.254
2018,10,26,5,0,41.81
2018,10,26,7,0,41.439
2018,10,26,9,0,40.321
2018,10,26,11,0,48.339
2018,10,26,13,0,49.937
2018,10,26,15,0,48.16
2018,10,26,17,0,44.922
2018,10,26,19,0,41.994
2018,10,26,21,0,40.509
2018,10,26,23,0,38.818
2018,10,27,1,0,37.297
2018,10,27,3,0,35.175
2018,10,27,5,0,34.394
2018,10,27,7,0,33.805
2018,10,27,9,0,33.213
2018,10,27,11,0,33.411
2018,10,27,13,0,45.828
2018,10,27,15,0,43.831
2018,10,27,17,0,40.321
2018,10,27,19,0,39.007
2018,10,27,21,0,39.007
2018,10,27,23,0,39.196
2018,10,28,1,0,39.384
2018,10,28,3,0,38.44
2018,10,28,5,0,36.338
2018,10,28,7,0,34.002
2018,10,28,9,0,34.198
2018,10,28,11,0,37.679
2018,10,28,13,0,42.732
2018,10,28,15,0,40.509
2018,10,28,17,0,37.107
2018,10,28,19,0,35.175
2018,10,28,21,0,34.786
2018,10,28,23,0,34.786
2018,10,29,1,0,34.786
2018,10,29,3,0,34.59
2018,10,29,5,0,34.59
2018,10,29,7,0,34.59
2018,10,29,9,0,34.394
2018,10,29,11,0,34.59
2018,10,29,13,0,34.59
2018,10,29,15,0,34.59
2018,10,29,17,0,34.394
2018,10,29,19,0,34.394
2018,10,29,21,0,34.198
2018,10,29,23,0,34.002
2018,10,30,1,0,33.805
2018,10,30,3,0,33.411
2018,10,30,5,0,33.411
2018,10,30,7,0,33.213
2018,10,30,9,0,33.213
2018,10,30,11,0,33.607
2018,10,30,13,0,36.145
2018,10,30,15,0,42.363
2018,10,30,17,0,39.007
2018,10,30,19,0,35.564
2018,10,30,21,0,34.59
2018,10,30,23,0,33.805
2018,10,31,1,0,33.805
2018,10,31,3,0,33.805
2018,10,31,5,0,33.805
2018,10,31,7,0,33.607
2018,10,31,9,0,33.411
2018,10,31,11,0,34.002
2018,10,31,13,0,39.573
2018,10,31,15,0,41.994
2018,10,31,17,0,40.509
2018,10,31,19,0,38.25
2018,10,31,21,0,38.25
2018,10,31,23,0,39.007
2018,11,1,1,0,39.384
2018,11,1,3,0,39.947
2018,11,1,5,0,40.321
2018,11,1,7,0,40.509
2018,11,1,9,0,41.625
2018,11,1,11,0,44.56
2018,11,1,13,0,47.982
2018,11,1,15,0,48.871
2018,11,1,17,0,44.922
2018,11,1,19,0,42.179
2018,11,1,21,0,40.881
2018,11,1,23,0,39.947
2018,11,2,1,0,39.196
2018,11,2,3,0,39.573
2018,11,2,5,0,40.134
2018,11,2,7,0,39.384
2018,11,2,9,0,34.981
2018,11,2,11,0,42.363
2018,11,2,13,0,54.322
2018,11,2,15,0,45.466
2018,11,2,17,0,38.25
2018,11,2,19,0,35.37
2018,11,2,21,0,34.394
2018,11,2,23,0,34.002
2018,11,3,1,0,34.002
2018,11,3,3,0,33.805
2018,11,3,5,0,33.607
2018,11,3,7,0,33.411
2018,11,3,9,0,33.607
2018,11,3,11,0,35.175
2018,11,3,13,0,36.145
2018,11,3,15,0,34.59
2018,11,3,17,0,34.002
2018,11,3,19,0,33.805
2018,11,3,21,0,34.002
2018,11,3,23,0,36.914
2018,11,4,1,0,33.805
2018,11,4,3,0,33.411
2018,11,4,5,0,36.145
2018,11,4,7,0,36.338
2018,11,4,9,0,33.607
2018,11,4,11,0,41.067
2018,11,4,13,0,49.228
2018,11,4,15,0,41.254
2018,11,4,17,0,36.531
2018,11,4,19,0,34.394
2018,11,4,21,0,34.002
2018,11,4,23,0,33.411
2018,11,5,1,0,33.213
2018,11,5,3,0,33.013
2018,11,5,5,0,33.013
2018,11,5,7,0,33.013
2018,11,5,9,0,33.013
2018,11,5,11,0,33.013
2018,11,5,13,0,33.013
2018,11,5,15,0,33.013
2018,11,5,17,0,33.013
2018,11,5,19,0,33.013
2018,11,5,21,0,33.013
2018,11,5,23,0,33.013
2018,11,6,1,0,33.013
2018,11,6,3,0,33.013
2018,11,6,5,0,33.013
2018,11,6,7,0,33.013
2018,11,6,9,0,33.013
2018,11,6,11,0,33.013
2018,11,6,13,0,33.013
2018,11,6,15,0,33.013
2018,11,6,17,0,33.013
2018,11,6,19,0,33.013
2018,11,6,21,0,33.013
2018,11,6,23,0,33.013
2018,11,7,1,0,33.013
2018,11,7,3,0,33.013
2018,11,7,5,0,33.013
2018,11,7,7,0,32.815
2018,11,7,9,0,32.815
2018,11,7,11,0,32.815
2018,11,7,13,0,32.815
2018,11,7,15,0,32.815
2018,11,7,17,0,32.815
2018,11,7,19,0,32.815
2018,11,7,21,0,32.815
2018,11,7,23,0,32.617
2018,11,8,1,0,32.617
2018,11,8,3,0,32.617
2018,11,8,5,0,32.617
2018,11,8,7,0,32.617
2018,11,8,9,0,32.617
2018,11,8,11,0,32.617
2018,11,8,13,0,32.617
2018,11,8,15,0,32.617
2018,11,8,17,0,32.617
2018,11,8,19,0,32.617
2018,11,8,21,0,32.617
2018,11,8,23,0,32.617
2018,11,9,1,0,32.418
2018,11,9,3,0,32.418
2018,11,9,5,0,32.418
2018,11,9,7,0,32.418
2018,11,9,9,0,32.418
2018,11,9,11,0,32.418
2018,11,9,13,0,32.418
2018,11,9,15,0,32.418
2018,11,9,17,0,32.418
2018,11,9,19,0,32.418
2018,11,9,21,0,32.418
2018,11,9,23,0,32.418
2018,11,10,1,0,32.418
2018,11,10,3,0,32.418
2018,11,10,5,0,32.418
2018,11,10,7,0,32.218
2018,11,10,9,0,32.218
